Date,Utilisation
"Mar 14, 2003",88.9
"Mar 21, 2003",88.5
"Mar 28, 2003",91
"Apr 04, 2003",93
"Apr 11, 2003",93.2
"Apr 18, 2003",92.2
"Apr 25, 2003",92.8
"May 02, 2003",94.3
"May 09, 2003",95.4
"May 16, 2003",95.1
"May 23, 2003",94.3
"May 30, 2003",97.3
"Jun 06, 2003",95.9
"Jun 13, 2003",95.5
"Jun 20, 2003",93.3
"Jun 27, 2003",93.8
"Jul 04, 2003",93.9
"Jul 11, 2003",94.6
"Jul 18, 2003",93
"Jul 25, 2003",93.6
"Aug 01, 2003",91.9
"Aug 08, 2003",93
"Aug 15, 2003",94
"Aug 22, 2003",93.1
"Aug 29, 2003",94.7
"Sep 05, 2003",94.7
"Sep 12, 2003",94.8
"Sep 19, 2003",92.7
"Sep 26, 2003",90.8
"Oct 03, 2003",90.2
"Oct 10, 2003",90.8
"Oct 17, 2003",92.1
"Oct 24, 2003",93.2
"Oct 31, 2003",93.7
"Nov 07, 2003",91.6
"Nov 14, 2003",92.3
"Nov 21, 2003",91.3
"Nov 28, 2003",93.5
"Dec 05, 2003",94.2
"Dec 12, 2003",92
"Dec 19, 2003",91.6
"Dec 26, 2003",91.7
"Jan 02, 2004",92.7
"Jan 09, 2004",90.8
"Jan 16, 2004",89.7
"Jan 23, 2004",88.8
"Jan 30, 2004",87.6
"Feb 06, 2004",90.3
"Feb 13, 2004",90.3
"Feb 20, 2004",87.3
"Feb 27, 2004",88.6
"Mar 05, 2004",89.1
"Mar 12, 2004",87.6
"Mar 19, 2004",87.9
"Mar 26, 2004",88.7
"Apr 02, 2004",89.9
"Apr 09, 2004",88
"Apr 16, 2004",91.9
"Apr 23, 2004",91.3
"Apr 30, 2004",93
"May 07, 2004",96
"May 14, 2004",95.3
"May 21, 2004",94.6
"May 28, 2004",94.9
"Jun 04, 2004",96
"Jun 11, 2004",96.4
"Jun 18, 2004",95.6
"Jun 25, 2004",96.1
"Jul 02, 2004",96.7
"Jul 09, 2004",95.2
"Jul 16, 2004",94.5
"Jul 23, 2004",97
"Jul 30, 2004",96.3
"Aug 06, 2004",94.7
"Aug 13, 2004",95.8
"Aug 20, 2004",96
"Aug 27, 2004",95.7
"Sep 03, 2004",96.5
"Sep 10, 2004",95.7
"Sep 17, 2004",88.1
"Sep 24, 2004",83.7
"Oct 01, 2004",88.9
"Oct 08, 2004",86.9
"Oct 15, 2004",88.2
"Oct 22, 2004",89.2
"Oct 29, 2004",89.4
"Nov 05, 2004",92.6
"Nov 12, 2004",93.5
"Nov 19, 2004",92.9
"Nov 26, 2004",94
"Dec 03, 2004",94
"Dec 10, 2004",93.7
"Dec 17, 2004",93.4
"Dec 24, 2004",94.2
"Dec 31, 2004",94.8
"Jan 07, 2005",94
"Jan 14, 2005",91.5
"Jan 21, 2005",91
"Jan 28, 2005",91.6
"Feb 04, 2005",90
"Feb 11, 2005",91.7
"Feb 18, 2005",90.2
"Feb 25, 2005",89.3
"Mar 04, 2005",89.5
"Mar 11, 2005",90.7
"Mar 18, 2005",90.2
"Mar 25, 2005",91.1
"Apr 01, 2005",93.7
"Apr 08, 2005",91
"Apr 15, 2005",91.8
"Apr 22, 2005",91.3
"Apr 29, 2005",91.7
"May 06, 2005",91.8
"May 13, 2005",94
"May 20, 2005",94.6
"May 27, 2005",96.2
"Jun 03, 2005",94.9
"Jun 10, 2005",96.7
"Jun 17, 2005",94.8
"Jun 24, 2005",96.3
"Jul 01, 2005",98.1
"Jul 08, 2005",96.2
"Jul 15, 2005",92.8
"Jul 22, 2005",93.5
"Jul 29, 2005",95.8
"Aug 05, 2005",95
"Aug 12, 2005",93.5
"Aug 19, 2005",93.4
"Aug 26, 2005",97.1
"Sep 02, 2005",86.8
"Sep 09, 2005",87.3
"Sep 16, 2005",90.8
"Sep 23, 2005",86.7
"Sep 30, 2005",69.8
"Oct 07, 2005",74.9
"Oct 14, 2005",79.1
"Oct 21, 2005",80.7
